freq,indic_sb,nace_r2,currency,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 
A,V12110,C_LTC,MIO_EUR,MT	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,C_LTC,MIO_EUR,NL	: @C	83035 	82561 	89583 	90072 	92922 	94561 
A,V12110,C_LTC,MIO_EUR,NO	: @C	: @C	: @C	30674 	31704 	30902 	31105 
A,V12110,C_LTC,MIO_EUR,PL	84717 	70176 	77406 	84562 	89284 	91906 	95120 
A,V12110,C_LTC,MIO_EUR,PT	: @C	30392 	31963 	33326 	32600 	34092 b	35341 
A,V12110,C_LTC,MIO_EUR,RO	22689 	18143 p	19133 	20949 	21376 	22202 	22849 
A,V12110,C_LTC,MIO_EUR,SE	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,C_LTC,MIO_EUR,SI	6455 	5406 	5493 	5730 	5499 	5402 	5547 
A,V12110,C_LTC,MIO_EUR,SK	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,C_LTC,MIO_EUR,TR	: 	85393 	: 	: 	: 	: 	: 
A,V12110,C_LTC,MIO_EUR,UK	: @C	167835 	181499 	180925 	193717 	: @C	: @C
A,V12110,C_LTC_M,MIO_EUR,AT	: @C	: @C	: @C	: @C	58202 	56171 	55533 
A,V12110,C_LTC_M,MIO_EUR,BE	: @C	79392 	94216 	116398 	117443 	111043 	105598 
A,V12110,C_LTC_M,MIO_EUR,BG	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,C_LTC_M,MIO_EUR,CH	: 	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,C_LTC_M,MIO_EUR,CY	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,C_LTC_M,MIO_EUR,CZ	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,C_LTC_M,MIO_EUR,DE	528629 	415857 	474970 	546270 	546033 	535275 	531891 
A,V12110,C_LTC_M,MIO_EUR,DK	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,C_LTC_M,MIO_EUR,EE	2404 	1563 	1860 	2367 	2389 	2522 	2661 
A,V12110,C_LTC_M,MIO_EUR,EL	35014 	25861 	29247 	: @C	33335 	31194 	32908 
A,V12110,C_LTC_M,MIO_EUR,ES	189858 	129232 	143626 	158793 	156778 	147229 	146785 
A,V12110,C_LTC_M,MIO_EUR,EU27_2007	: @C	1680801 e	1896296 e	: @C	: 	: 	: 
A,V12110,C_LTC_M,MIO_EUR,EU27_2020	: 	: 	: 	: @C	: 	: 	: 
A,V12110,C_LTC_M,MIO_EUR,EU28	: 	: 	: 	2144955 e	2179801 e	2056920 e	1987550 p
A,V12110,C_LTC_M,MIO_EUR,FI	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,C_LTC_M,MIO_EUR,FR	275414 	224773 	248185 	: @C	258259 	236936 	228133 
A,V12110,C_LTC_M,MIO_EUR,HR	: @C	: @C	: @C	: @C	4140 	: @C	: @C
A,V12110,C_LTC_M,MIO_EUR,HU	25898 	18676 	21245 	24159 	23580 	23167 	23591 
A,V12110,C_LTC_M,MIO_EUR,IE	: @C	: @C	: @C	: @C	: @C	: @C	: 
A,V12110,C_LTC_M,MIO_EUR,IT	326608 	234643 	279017 	295890 	299438 	270145 	255385 
A,V12110,C_LTC_M,MIO_EUR,LT	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,C_LTC_M,MIO_EUR,LU	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,C_LTC_M,MIO_EUR,LV	: @C	1236 	1461 	1826 	2269 	: @C	1680 
A,V12110,C_LTC_M,MIO_EUR,MT	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,C_LTC_M,MIO_EUR,NL	: @C	75738 	85862 	101768 	108190 	102167 	100782 
A,V12110,C_LTC_M,MIO_EUR,NO	: @C	: @C	24394 	: @C	: @C	25580 	: @C
A,V12110,C_LTC_M,MIO_EUR,PL	91533 	64814 	83146 	100806 	102205 	98769 	101884 
A,V12110,C_LTC_M,MIO_EUR,PT	: @C	23442 	25764 	27052 	26870 	26197 b	25803 
A,V12110,C_LTC_M,MIO_EUR,RO	22393 	13935 p	16445 	19849 	19991 	19215 	20307 
A,V12110,C_LTC_M,MIO_EUR,SE	46025 	32213 	: @C	: @C	: @C	: @C	: @C
A,V12110,C_LTC_M,MIO_EUR,SI	8313 	: @C	: @C	: @C	7562 	7854 	: @C
A,V12110,C_LTC_M,MIO_EUR,SK	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,C_LTC_M,MIO_EUR,TR	: 	63638 	: 	: 	: 	: 	: 
A,V12110,C_LTC_M,MIO_EUR,UK	185536 	136301 	154994 	165637 	189791 	176833 	183044 
A,V12110,HTC,MIO_EUR,AT	25188 	24425 	24812 	26659 	26634 	28165 	29278 
A,V12110,HTC,MIO_EUR,BE	: @C	42234 	: @C	: @C	44624 	47964 	50974 
A,V12110,HTC,MIO_EUR,BG	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,HTC,MIO_EUR,CH	: 	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,HTC,MIO_EUR,CY	1137 	1098 	: @C	: @C	: @C	: @C	: @C
A,V12110,HTC,MIO_EUR,CZ	25316 p	22440 	: 	24777 	25840 	23627 	23699 
A,V12110,HTC,MIO_EUR,DE	318562 	284182 	294840 	315419 	315637 	328955 	342208 
A,V12110,HTC,MIO_EUR,DK	30444 	30159 	31819 	32821 	34701 	34518 	37358 
A,V12110,HTC,MIO_EUR,EE	1677 	: @C	2179 	3039 	3209 	3391 	3454 
A,V12110,HTC,MIO_EUR,EL	15077 	14478 	: @C	9934 	9807 	10117 	8965 
A,V12110,HTC,MIO_EUR,ES	101380 	95446 	94181 	91784 	88607 	86371 	85900 
A,V12110,HTC,MIO_EUR,EU27_2007	: @C	: @C	: @C	: @C	: 	: 	: 
A,V12110,HTC,MIO_EUR,EU27_2020	: 	: 	: 	: @C	: 	: 	: 
A,V12110,HTC,MIO_EUR,EU28	: 	: 	: 	: @C	: @C	: @C	: 
A,V12110,HTC,MIO_EUR,FI	: @C	: @C	45497 	: @C	: @C	: b	40083 
A,V12110,HTC,MIO_EUR,FR	: @C	218677 	228315 	232467 	232140 	228338 	225432 
A,V12110,HTC,MIO_EUR,HR	: @C	: @C	: @C	4216 	4100 	4289 	4195 
A,V12110,HTC,MIO_EUR,HU	30748 	26839 	30187 	29831 	25985 	23722 	23729 
A,V12110,HTC,MIO_EUR,IE	: @C	: @C	: @C	: @C	: @C	: @C	: 
A,V12110,HTC,MIO_EUR,IT	156849 	147980 	153450 	154747 	151005 	146042 	141060 
A,V12110,HTC,MIO_EUR,LT	1865 	1621 	1650 	1700 	1726 	1819 	1995 
A,V12110,HTC,MIO_EUR,LU	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,HTC,MIO_EUR,LV	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,HTC,MIO_EUR,MT	: @C	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,HTC,MIO_EUR,NL	: @C	67849 	72088 	72247 	72048 	69274 	93984 
A,V12110,HTC,MIO_EUR,NO	: @C	: @C	: @C	: @C	: @C	27469 	: @C
A,V12110,HTC,MIO_EUR,PL	: @C	29980 	37218 	35632 	36393 	37087 	38140 
A,V12110,HTC,MIO_EUR,PT	16266 	15564 	15289 	14511 	13904 	13639 b	13122 
A,V12110,HTC,MIO_EUR,RO	11574 p	10409 p	11353 	11147 	10161 	10628 	11492 
A,V12110,HTC,MIO_EUR,SE	: @C	: @C	: @C	: @C	70714 	: @C	: @C
A,V12110,HTC,MIO_EUR,SI	5009 	4707 	4890 	5015 	5142 	5389 	5432 
A,V12110,HTC,MIO_EUR,SK	10543 	: @C	11239 b	11246 	11458 	11098 	11460 
A,V12110,HTC,MIO_EUR,TR	: 	23381 	: 	: 	: 	: 	: 
A,V12110,HTC,MIO_EUR,UK	265337 	227928 	255481 	258048 	273479 	267555 	289325 
A,V12110,KIS_HTC,MIO_EUR,AT	16711 	16509 	16415 	17747 	18330 	19139 	19847 
A,V12110,KIS_HTC,MIO_EUR,BE	: @C	29503 	29538 	31386 	32137 	32004 	33549 
A,V12110,KIS_HTC,MIO_EUR,BG	3129 	3148 	3184 	3415 	3561 	3634 	3734 
A,V12110,KIS_HTC,MIO_EUR,CH	: 	: @C	: @C	: @C	: @C	: @C	: @C
A,V12110,KIS_HTC,MIO_EUR,CY	949 	918 	999 	1063 	1076 	1054 	1076 
A,V12110,KIS_HTC,MIO_EUR,CZ	12805 p	12014 	: 	13122 	12622 	11983 	11633 
