freq,nace_r2,unit,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,C_HTC_M,NR,EU27_2007	216267 du	208570 du	213495 de	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,C_HTC_M,NR,EU27_2020	: 	: 	: 	193626 de	188285 de	185007 de	186011 de	182047 de	180300 du	178632 du	180823 de	: @C	: 
A,C_HTC_M,NR,EU28	: 	: 	: 	211824 de	206112 de	203045 de	204294 de	201248 du	201900 de	200344 du	200439 du	: 	: 
A,C_HTC_M,NR,FI	3147 	3006 	2963 	2909 	2841 	2810 b	2731 	2671 	2572 	2593 b	2564 	2613 	2627 p
A,C_HTC_M,NR,FR	16599 	14131 	13883 	13510 	13173 	13273 	13253 b	12241 b	12400 	11839 b	: @C	12214 	12543 p
A,C_HTC_M,NR,HR	2234 	2312 	2138 	2035 	1992 	1965 	1914 	1919 	1943 	1936 	1950 	2000 b	1949 p
A,C_HTC_M,NR,HU	7448 	5132 	4964 	4900 	4770 	4645 	4633 	4612 	4607 	4609 	4581 b	4592 	4449 p
A,C_HTC_M,NR,IE	1315 	1381 	1343 	1348 	1340 	1356 	1341 	: @C	: @C	: @C	: @C	: @C	: @C
A,C_HTC_M,NR,IS	: 	: 	: 	: 	: 	: 	: 	172 p	181 p	186 p	179 	: 	: 
A,C_HTC_M,NR,IT	43290 d	43148 	43357 	43575 	42056 	41559 	40656 	40083 	39863 	38874 b	36540 	36089 	: 
A,C_HTC_M,NR,LT	440 	422 	409 	421 	474 	502 	547 	556 	549 	547 	579 b	607 	619 p
A,C_HTC_M,NR,LU	69 	70 	70 	65 	68 	70 	68 	62 	62 	65 	64 	63 	61 p
A,C_HTC_M,NR,LV	383 	371 	435 	430 	557 	582 	625 	684 	715 	704 	733 	728 	723 p
A,C_HTC_M,NR,MK	: 	: 	: 	386 	403 	392 	372 	398 	394 	: @C	: @C	: @C	423 p
A,C_HTC_M,NR,MT	132 	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	134 p
A,C_HTC_M,NR,NL	6209 	6599 	7123 	7092 	7055 	7475 	7369 	7295 	7364 	7374 	7914 	8099 	8207 p
A,C_HTC_M,NR,NO	2801 	2700 	2527 	2528 	2480 	2359 	2280 	2191 	2144 	2052 	1962 b	1956 	1885 p
A,C_HTC_M,NR,PL	11586 	11964 	11643 	11647 	11436 	11369 	11781 	12227 	13047 	13462 	15621 b	15738 	15685 p
A,C_HTC_M,NR,PT	4724 	4534 	4251 	4188 	3978 	3920 	3829 	3800 	3843 	3927 	3887 	3871 	3969 p
A,C_HTC_M,NR,RO	4130 	4019 p	3766 	3528 	3539 	3602 	3673 	3616 	3508 	3529 	3578 b	3612 	3705 p
A,C_HTC_M,NR,RS	: 	: 	: 	: 	: 	: 	: 	: 	2354 p	2229 p	2217 	2174 	2181 p
A,C_HTC_M,NR,SE	7044 	7021 	7000 	7041 	7015 	6917 	6912 	6847 	6813 	6780 	5435 b	5380 	5362 p
A,C_HTC_M,NR,SI	1684 	1626 	1587 	1566 	1572 	1594 	1619 	1625 	1625 	1658 	1644 	1672 	1683 p
A,C_HTC_M,NR,SK	1219 	1363 	3800 b	3652 	3512 	3445 	3469 	3554 	3927 	4088 	4530 	4555 	4759 p
A,C_HTC_M,NR,TR	: 	28990 	: 	: 	: 	28263 	28149 	: 	: 	: 	: 	: 	: 
A,C_HTC_M,NR,UK	21334 	19749 	18789 	18202 	17899 	18132 	18391 	18618 	19190 b	19270 	19280 	: 	: 
A,C_LTC,NR,AT	13976 	13545 	13487 	13293 	13150 	13233 	13386 	13344 	13082 	13279 	13135 b	13610 	13028 p
A,C_LTC,NR,BA	: 	: 	: 	2600 p	2453 p	2352 p	5872 e	6043 e	6368 e	6633 b	6462 	6559 	: 
A,C_LTC,NR,BE	: @C	: @C	: @C	: @C	15520 	15064 	16168 	14847 	14736 	15763 	13333 b	16555 	16929 p
A,C_LTC,NR,BG	17039 	17979 	17197 	17028 	17017 	17373 	17521 	17875 	18210 	18171 	18210 b	18063 	17295 p
A,C_LTC,NR,CH	: 	7605 d	7534 bd	7453 d	7346 d	8346 d	8584 d	8318 	8323 	8230 	8176 	: 	: 
A,C_LTC,NR,CY	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	: @C	2699 	2677 	2624 p
A,C_LTC,NR,CZ	: @C	61603 	66815 	69752 	70413 	67333 	67535 	68133 	69896 	70933 	72996 	72092 	69905 p
A,C_LTC,NR,DE	78464 	65668 	82608 	82573 	80031 	77953 	83295 	81250 	78095 	73106 	80844 b	84021 	83671 p
A,C_LTC,NR,DK	5041 	4869 	4770 	4778 	4755 	4621 	4593 	4569 	4777 	4891 	4910 b	4896 	4975 p
A,C_LTC,NR,EE	2878 	2848 	2792 	2870 	3018 	3248 	3408 	3645 	3748 	3885 	3788 b	3991 	4090 p
A,C_LTC,NR,EL	50117 	50235 	: @C	: @C	38295 	34721 	37788 bp	35725 p	36010 p	33183 p	32921 b	32849 	32024 p
A,C_LTC,NR,ES	96743 	89236 	88190 	85797 	83577 	79359 	79570 	79843 	79810 	80674 	: @C	: @C	80710 p
