probe_id,asn,lat,lon
4180,3209,47.7275,10.3215
4251,3209,49.4175,8.5295
4259,8820,48.1915,11.7695
4260,3320,49.5075,8.5005
4332,200924,47.6685,8.0385
4353,198967,52.0385,8.5195
4435,3320,49.4895,8.4685
4482,39702,48.6785,8.9715
4526,3320,50.7305,7.0885
4615,35258,53.5995,10.1875
4715,12312,52.5295,13.3575
4718,8881,50.6815,9.7775
4740,3320,49.4275,11.5395
4741,198570,49.8975,10.8795
4781,3209,50.0775,8.6215
4796,198672,51.0505,6.2115
4873,9067,49.2285,6.9905
4879,62336,54.8715,8.9005
4943,3209,51.0885,6.8895
4999,12312,52.6415,13.5015
6313,203329,50.1285,8.5975
6331,6724,52.5175,13.3185
6332,24940,49.4485,11.0085
6336,2857,49.9905,8.2385
6346,680,52.1405,11.6395
6357,50629,51.5205,7.4895
6372,680,48.0785,11.6505
6385,21473,49.5095,8.5315
6387,21473,49.4305,8.3615
6396,5539,48.1405,11.5315
6413,34549,50.1385,8.7375
6432,34878,49.0085,8.4085
6447,35065,51.4005,12.3995
6507,48821,51.1905,6.8675
6534,200462,50.1095,8.6785
6535,209915,51.2195,6.8085
6548,12374,48.7115,9.1695
6550,15817,52.3775,8.6195
6561,20473,50.1175,8.7405
6576,60316,51.1905,7.2305
6581,197540,49.4475,11.0815
6589,34800,51.2715,6.8215
6601,58057,50.1375,8.7375
6679,8319,50.5615,9.6805
6683,553,48.7485,9.1115
6693,24940,49.4485,11.0115
6715,16276,50.3995,8.0775
6724,3320,50.1095,8.6785
6750,8767,48.1875,11.5895
6751,62310,52.4475,13.4295
6761,553,48.0475,8.2105
6784,3491,50.1095,8.7015
6787,9136,52.4305,10.7915
6789,44973,50.0315,10.5215
6799,197540,49.4515,11.0815
6812,56357,48.2585,11.6675
6813,202040,48.9485,8.3875
6824,42699,51.0395,13.7285
6826,42184,52.3105,7.4385
6838,680,49.5715,11.0285
6842,29670,52.5385,13.2395
6857,8763,50.1205,8.7395
6858,680,49.2615,7.0395
6880,35258,53.6075,10.0315
6900,48328,48.0975,11.5975
6922,39835,51.5485,9.9285
6940,63949,50.0975,8.6395
6941,199938,53.5475,10.0395
6967,14061,50.1205,8.7405
6979,16552,50.1215,8.7405
6999,15451,49.4515,11.0815
7004,34936,51.2695,6.8175
7006,34953,50.7805,6.1275
7012,13101,54.3185,10.1175
7022,200567,53.7385,10.0785
7034,39702,48.7095,8.7385
7035,24961,51.2695,6.8185
7036,12306,50.1005,8.6285
7054,12931,47.7595,10.3195
7068,204035,51.2715,6.8205
7069,50629,51.5215,7.3705
7075,3320,52.5495,13.4205
7096,47295,51.1905,14.3515
7097,56381,50.1405,8.7415
7117,59645,51.2705,6.8175
7141,29423,50.1275,8.5995
7151,8879,52.1175,8.6495
7152,12437,51.9585,7.6395
7156,50030,52.5005,13.3695
7169,39063,50.1215,8.7405
7184,208398,50.1095,8.6815
7195,15456,48.1995,11.5915
7196,24840,50.1005,8.6315
7208,9022,49.4915,8.4175
7265,200187,50.0995,8.6305
7304,29505,53.8695,10.6775
7317,398485,50.1005,8.6375
7354,204989,52.3495,7.4795
7402,60767,50.1185,8.7375
7403,62371,50.0985,8.7775
7412,8391,51.4885,7.3975
7413,20676,50.0985,8.6375
7435,30766,49.6795,8.6185
7437,210752,50.1005,8.6285
7478,206549,48.0615,11.5605
7489,12897,49.8915,8.6515
7491,214138,49.9975,8.6615
7501,8893,53.5475,10.0475
7503,16509,50.1285,8.5975
7511,12731,53.5475,10.0475
7521,215120,52.5075,13.6185
7554,208976,50.1295,8.5795
7567,20676,51.1905,6.8705
7583,207160,51.2085,6.8315
7618,214895,50.1315,8.5975
7635,47536,50.1295,8.5985
7651,47526,49.3875,11.1795
7654,20292,50.1195,8.7395
7681,52112,51.2675,6.8215
7685,44656,50.0995,8.6315
7688,197540,49.4515,11.0115
7690,200297,51.3675,12.4715
7695,30742,53.1095,8.8515
7699,207252,51.2715,6.8215
7702,680,51.0285,13.7175
10052,13246,48.1885,11.5895
10061,12676,51.1875,6.8705
10188,3320,48.7015,9.7115
10214,8899,49.5095,6.3775
10250,3320,53.4875,9.9895
10251,12611,49.0175,12.0995
10281,3209,49.2275,11.0915
10293,8489,50.2285,8.6115
10502,1273,50.1185,8.6775
10654,8881,51.3295,7.9995
10678,8881,51.6415,7.8505
10755,3320,51.9295,7.6795
10811,3320,52.5275,13.8675
10864,3320,49.8595,8.5505
10920,3320,48.3375,10.4485
10976,,50.9705,6.9005
11059,3320,48.1215,11.6095
11075,3320,52.2695,8.8305
11106,6805,48.0505,10.4975
11176,8422,50.7405,7.1005
11177,3320,49.0905,11.2205
11185,680,51.3395,12.3815
11194,8881,49.0095,8.3915
11210,3209,52.4575,13.6975
11288,6805,50.7015,7.0515
11296,21263,48.2705,8.8815
11421,3209,52.2675,10.4985
11463,553,49.4785,8.4705
11662,15943,53.5985,10.0505
11707,8881,49.0005,8.4675
11717,35833,52.4505,13.4175
11729,35426,48.0115,7.8485
11815,3320,53.5695,9.9475
11863,62336,53.3485,10.2205
11952,3320,50.9385,11.5595
11974,3320,50.7195,7.0205
11990,58243,52.5075,13.4415
12028,3320,52.5115,13.4485
