mun_key,probe-1,probe-2,probe-3,probe-4,probe-5,distance-1,distance-2,distance-3,distance-4,distance-5
100450114114,28582,61389,29213,53566,1008016,4.96969060860376,9.823233126171694,10.265635525825456,10.557302240321842,21.580143997292467
100410518518,51487,6858,29682,4873,28934,3.8359769996515256,4.820773690455018,7.087625658682476,9.71863353989942,10.302211936592965
100430115115,1008016,28582,61389,29213,1010401,7.9408794006532,12.75969239698166,17.270987536146194,17.561539869501463,19.349859710796327
100410511511,51487,6858,29682,29213,61389,7.361781633604001,8.280844358168789,9.998695763950346,13.095760483679289,13.154511902632834
100460117117,1008016,1010401,28582,51487,61389,2.602186086094148,14.460207066773435,17.88194731011739,21.716614851187337,21.8552325235804
100440111111,29962,61070,51313,1010401,1004591,4.212782447610468,5.557891201062736,13.080470641314443,21.612715771532205,23.328300697338058
100450112112,29213,61389,53566,28582,29682,2.3344861526868583,2.5656290869930243,6.695810789412162,7.890308445391242,14.417784024478243
147130000000,61704,1003396,11185,50590,51191,0.3100112250315493,0.6099704860218955,1.2644737874877385,1.948574032926399,2.3866386240190534
146120000000,21349,6824,34040,1009726,1009197,1.9870584009307617,2.1621982537146835,2.3949058994959898,2.815450613281446,3.034445307958599
145110000000,1011807,14894,53254,29688,1005191,0.633219850826474,1.4636535686885646,1.831266493401498,2.0797200651741212,2.4516792969220456
145225129520,65223,14194,60266,53254,1005191,33.806667023516894,34.01996115433009,34.06927851874769,34.2388818887502,34.26193222522772
146285221370,1002855,51511,61593,61313,1000577,6.127744534641988,15.869461083975121,16.423814041139718,18.30349304746507,18.324946065610597
146285202230,1002855,61593,51511,1000577,14194,13.461082232818965,17.663373388884164,18.513036255336,19.25959598544369,19.547844807203603
145245111130,1004523,1013599,1013888,29568,1011578,17.915198342903544,18.037552661565513,18.037552661565513,18.08919913792742,18.08919913792742
146270220220,1003070,1009726,21349,6824,34040,17.15708292314242,17.314934219031816,17.782553220283635,18.007937027114508,18.227155763846735
145235134430,1006377,1013235,1000017,1008506,1008113,6.413714041416702,6.49815043306799,6.525694397253149,6.525694397253149,6.596797276771271
150030000000,1011504,33442,6346,54477,52506,1.6910300220932961,2.8958298940989247,2.916195216418977,2.928017527350015,8.448872220664729
150020000000,25606,1002500,16124,29790,51186,1.4269242349625935,1.627729485495455,28.889726689166316,31.059653179338508,31.282990034634196
150010000000,1008061,16124,33524,25606,1002500,22.24478136255936,27.001682285764147,36.82244752060456,46.50279801326163,46.80595930069773
150905051610,60721,32064,53246,52506,33902,29.26241960842989,68.72292009901362,77.88784550626045,78.42500583821905,79.97842369867311
150845054470,1001447,1001445,901,31849,52559,25.759919456703653,25.862409468041317,27.693274982854547,27.90159300433031,28.758556176753647
150905052445,60721,32064,35393,53246,52506,24.133057255867786,66.74451391907724,71.98192717808436,72.99234216464299,73.0402682052786
150910160160,33524,1008061,16124,1014259,6447,11.336704256967638,25.002965246167207,29.876964376166836,36.439336676416666,46.37009500538209
150840235235,29790,29984,50590,31849,51191,21.932120711209475,23.40529460625589,25.43944795013548,25.97434380737578,26.09991753203171
150910391391,33524,1014259,1008061,16124,35393,24.093597188825196,39.27046391860779,41.66826851553299,46.767221258156574,47.34300676642294
010020000000,1004623,7012,53696,35573,1008655,0.6354155731257326,1.0952833319622985,1.4942403364741186,2.8307815288875333,3.9622440189660972
010030000000,51003,62667,7304,1002792,1004121,0.3431729410365094,0.6172288914256254,0.7460759494382699,2.1326812552397874,2.51394866677477
010010000000,28729,19632,1013717,50680,4879,0.7467461240672935,9.620535935618935,16.848580214505603,31.318680263886367,35.41169964359572
010540033033,52676,50680,1008435,50412,23368,10.481312785345787,35.244213749405084,38.66259166354654,39.01013443158469,39.743879638435786
010615153055,1002970,61776,1013718,30729,35503,9.341584917859189,10.513222682243038,11.66217930303261,14.629300501572944,21.534479653473184
010595920002,1013717,50680,1008655,19632,7012,19.673086801214826,25.730407341356166,32.767836362208264,33.204295116780415,36.73928443286334
010550032032,62667,51003,7304,1004121,1002792,27.550681458778147,27.821535116218744,27.918150526034022,28.78982627368467,30.261605640190094
010600004004,1007889,30729,3297,1009617,1008619,0.21798938297772782,13.121617118708789,15.532322116070814,19.277408421098553,20.18983221821879
010530100100,1012370,29660,65876,1002792,51003,10.515273350854565,13.347180879815689,15.410678562168403,17.891266089898917,19.65708945139378
160510000000,55331,62459,933,1011284,1007323,0.28176536078974573,0.8223208504009317,0.9412675150825942,1.2619640029991206,3.7790598588493833
160530000000,32104,11952,1001449,1001558,1001428,1.63995432606013,4.13617408893983,7.127151434927373,7.127151434927373,7.14341891245543
160520000000,52559,1001445,1001447,15921,31849,1.2678267947734148,2.2488967112818203,2.3536466163285823,8.514700844524029,10.110263445441438
160755013127,35780,50852,901,1001433,1001434,31.254460877064968,31.314870154046552,32.636462254146096,32.68498714585027,32.794860893051
160715053061,1001454,1001443,1001452,1001453,1001451,16.030769967250233,16.077746462791055,16.077746462791055,16.077746462791055,16.125353611997422
160695004052,30673,1010422,2650,62173,6789,10.60782342614256,24.91454624141573,29.359755670146896,31.663935090347184,32.8723884933435
160690062062,1010422,31951,30673,2650,53485,12.291337233628678,29.26874490034556,31.327049552317668,37.55048000191845,38.80199722656586
160630103103,12177,53179,30958,28296,4718,24.94973874381476,30.24582209347525,31.616237461186866,35.824546122829844,36.32249978616652
160700058058,1002314,17250,54512,30673,933,12.854368210913314,13.0692612726106,15.380393983638251,38.70881874581126,41.91533642515295
