mun_key,distance,probe_id,msm_id,type,step,proto,prb_id,dst_addr,dst_name,af,size,avg_rtt,min_rtt,med_rtt,max_rtt,sent,rcvd,lost,ttl,sample_type,mun_name_short,mun_pop_cen22,state,mun_lat,mun_lon
096775621181,27.56032109294185,1013840,155973633,ping,,ICMP,1013840.0,63.179.105.208,aws-fra.ncc.dock.ee,4,48,8.6512878,7.530801,7.651,12.693972,5,5,0,57,bottom,Rothenfels,947,Bayern,49.89293809999999,9.5858843
097610000000,0.5046027046257243,1002071,155973633,ping,,ICMP,1002071.0,63.179.105.208,aws-fra.ncc.dock.ee,4,48,11.398295399999999,11.27152,11.357,11.550864,5,5,0,52,top,Augsburg,301105,Bayern,48.3656729,10.8942662
097610000000,0.6621873363229853,31056,155973633,ping,,ICMP,31056.0,63.179.105.208,aws-fra.ncc.dock.ee,4,48,17.7148616,17.473767,17.637,18.163555,5,5,0,58,top,Augsburg,301105,Bayern,48.3656729,10.8942662
097610000000,0.7585383961324195,22386,155973633,ping,,ICMP,22386.0,63.179.105.208,aws-fra.ncc.dock.ee,4,48,8.804360599999999,7.502186,8.39,10.38295,5,5,0,56,top,Augsburg,301105,Bayern,48.3656729,10.8942662
097610000000,1.3822011153224685,34752,155973633,ping,,ICMP,34752.0,63.179.105.208,aws-fra.ncc.dock.ee,4,48,18.135016,17.175612,18.264,18.832611,5,5,0,56,top,Augsburg,301105,Bayern,48.3656729,10.8942662
097740121121,10.680619054903552,10920,155973633,ping,,ICMP,10920.0,63.179.105.208,aws-fra.ncc.dock.ee,4,48,27.1636526,26.506126,26.704,29.135315,5,5,0,54,median,Burgau,10670,Bayern,48.430206,10.4107793
097740121121,11.03660203403293,53353,155973633,ping,,ICMP,53353.0,63.179.105.208,aws-fra.ncc.dock.ee,4,48,8.6327666,8.563458,8.629,8.742667,5,5,0,55,median,Burgau,10670,Bayern,48.430206,10.4107793
097740121121,26.9053084505275,1506,155973633,ping,,ICMP,1506.0,63.179.105.208,aws-fra.ncc.dock.ee,4,48,11.2905236,10.815746,10.906,12.805634,5,5,0,54,median,Burgau,10670,Bayern,48.430206,10.4107793
097740121121,26.94873488800068,51834,155973633,ping,,ICMP,51834.0,63.179.105.208,aws-fra.ncc.dock.ee,4,48,35.4803084,34.922875,35.165,36.774,5,5,0,57,median,Burgau,10670,Bayern,48.430206,10.4107793
097740121121,30.27240957564748,50828,155973633,ping,,ICMP,50828.0,63.179.105.208,aws-fra.ncc.dock.ee,4,48,18.201774999999998,17.367916,17.657,20.334625,5,5,0,52,median,Burgau,10670,Bayern,48.430206,10.4107793
160755013127,31.314870154046552,50852,155973633,ping,,ICMP,50852.0,63.179.105.208,aws-fra.ncc.dock.ee,4,48,13.848566600000002,13.712375,13.903,13.9785,5,5,0,56,bottom,Ziegenrück,626,Thüringen,50.6083002,11.6509304
