id,mun_key,mun_name,mun_name_short,mun_zip,mun_pop_cen22,mun_pop_cen22m,mun_pop_cen22f,mun_dens_cen22,mun_sizekm2,state,lat,lon,geo
155,032520006006,"Hameln, Stadt",NA,31785,58244,27988,30256,568,102.53,NA,NA,NA,NA
156,053340032032,"Stolberg (Rhld.), Kupferstadt",NA,52222,57684,28530,29154,586,98.48,NA,NA,NA,NA
157,053340012012,"Eschweiler, Stadt",NA,52249,57534,28247,29287,760,75.75,NA,NA,NA,NA
158,081190079079,"Waiblingen, Stadt",NA,71332,57313,28233,29080,1341,42.75,NA,NA,NA,NA
159,120530000000,"Frankfurt (Oder), Stadt",NA,15230,57107,27896,29211,386,147.85,NA,NA,NA,NA
160,051620022022,"Meerbusch, Stadt",NA,40670,57078,27450,29628,886,64.4,NA,NA,NA,NA
161,034560015015,"Nordhorn, Stadt",NA,48529,56973,28034,28939,380,149.86,NA,NA,NA,NA
162,082110000000,"Baden-Baden, Stadt",NA,76530,56881,27107,29774,406,140.19,NA,NA,NA,NA
163,064340001001,"Bad Homburg v. d. Höhe, Stadt",NA,61343,56688,27023,29665,1108,51.14,NA,NA,NA,NA
164,053820056056,"Sankt Augustin, Stadt",NA,53757,56521,27810,28711,1652,34.22,NA,NA,NA,NA
165,034540032032,"Lingen (Ems), Stadt",NA,49808,56498,28298,28200,321,176.19,NA,NA,NA,NA
166,053620036036,"Pulheim, Stadt",NA,50259,56150,27154,28996,778,72.15,NA,NA,NA,NA
167,130750039039,"Greifswald, Universitäts- und Hansestadt",NA,17489,56092,26434,29658,1104,50.81,NA,NA,NA,NA
168,146260110110,"Görlitz, Stadt, Hochschulstadt",NA,02826,55186,26708,28478,817,67.53,NA,NA,NA,NA
169,051580016016,"Hilden, Stadt",NA,40721,55157,26436,28721,2126,25.95,NA,NA,NA,NA
170,065320023023,"Wetzlar, Stadt",NA,35578,54665,26647,28018,723,75.65,NA,NA,NA,NA
171,096620000000,Schweinfurt,NA,97420,54481,26973,27508,1526,35.7,NA,NA,NA,NA
172,071330006006,"Bad Kreuznach, Stadt",NA,55545,54168,26236,27932,975,55.56,NA,NA,NA,NA
173,032410010010,"Langenhagen, Stadt",NA,30853,54142,26769,27373,752,71.97,NA,NA,NA,NA
174,130730088088,"Stralsund, Hansestadt",NA,18439,54094,26004,28090,991,54.59,NA,NA,NA,NA
175,057660008008,"Bad Salzuflen, Stadt",NA,32105,53958,26261,27697,539,100.05,NA,NA,NA,NA
176,059540016016,"Hattingen, Stadt",NA,45525,53044,25640,27404,740,71.67,NA,NA,NA,NA
177,092620000000,Passau,NA,94030,53039,25936,27103,762,69.56,NA,NA,NA,NA
178,051540036036,"Kleve, Stadt",NA,47533,53028,26155,26873,542,97.76,NA,NA,NA,NA
179,073160000000,"Neustadt an der Weinstraße, Stadt",NA,67433,52945,25734,27211,452,117.09,NA,NA,NA,NA
180,055700004004,"Ahlen, Stadt",NA,59227,52666,25838,26828,428,123.13,NA,NA,NA,NA
181,031580037037,"Wolfenbüttel, Stadt",NA,38300,52604,25797,26807,668,78.74,NA,NA,NA,NA
182,053620024024,"Frechen, Stadt",NA,50226,52309,25657,26652,1161,45.06,NA,NA,NA,NA
183,059620040040,"Menden (Sauerland), Stadt",NA,58706,52255,25644,26611,607,86.1,NA,NA,NA,NA
184,055660028028,"Ibbenbüren, Stadt",NA,49477,51803,25655,26148,476,108.87,NA,NA,NA,NA
185,081150003003,"Böblingen, Stadt",NA,71032,51483,25834,25649,1319,39.04,NA,NA,NA,NA
186,083365003050,"Lörrach, Stadt",NA,79539,51349,24973,26376,1304,39.37,NA,NA,NA,NA
187,010560015015,"Elmshorn, Stadt",NA,25335,51342,25316,26026,2404,21.36,NA,NA,NA,NA
188,053740012012,"Gummersbach, Stadt",NA,51643,51290,25356,25934,538,95.41,NA,NA,NA,NA
189,031570006006,"Peine, Stadt",NA,31224,50987,25227,25760,425,119.84,NA,NA,NA,NA
190,083175007065,"Lahr/Schwarzwald, Stadt",NA,77933,50775,25531,25244,727,69.84,NA,NA,NA,NA
191,082165005043,"Rastatt, Stadt",NA,76437,50741,25443,25298,860,58.98,NA,NA,NA,NA
192,084365005064,"Ravensburg, Stadt",NA,88212,50628,25156,25472,550,92.05,NA,NA,NA,NA
193,057700004004,"Bad Oeynhausen, Stadt",NA,32545,50620,24913,25707,781,64.83,NA,NA,NA,NA
194,081355002019,"Heidenheim an der Brenz, Stadt",NA,89522,50618,25211,25407,473,107.09,NA,NA,NA,NA
195,055540020020,"Gronau (Westf.), Stadt",NA,48599,50547,25307,25240,641,78.82,NA,NA,NA,NA
196,033520011011,"Cuxhaven, Stadt",NA,27472,49697,23990,25707,307,161.93,NA,NA,NA,NA
197,073180000000,"Speyer, Stadt",NA,67346,49564,24099,25465,1160,42.71,NA,NA,NA,NA
198,081150028028,"Leonberg, Stadt",NA,71229,49480,24574,24906,1015,48.73,NA,NA,NA,NA
199,051660036036,"Willich, Stadt",NA,47877,49413,24068,25345,729,67.8,NA,NA,NA,NA
200,034020000000,"Emden, Stadt",NA,26721,49202,24352,24850,438,112.34,NA,NA,NA,NA
201,059780004004,"Bergkamen, Stadt",NA,59192,49143,24413,24730,1094,44.9,NA,NA,NA,NA
202,120650256256,"Oranienburg, Stadt",NA,16515,49122,24065,25057,300,163.69,NA,NA,NA,NA
203,092630000000,Straubing,NA,94315,49002,24793,24209,725,67.59,NA,NA,NA,NA
204,091780124124,"Freising, GKSt",NA,85350,48928,24527,24401,552,88.59,NA,NA,NA,NA
205,053340004004,"Alsdorf, Stadt",NA,52477,48810,24259,24551,1541,31.68,NA,NA,NA,NA
206,053620020020,"Erftstadt, Stadt",NA,50374,48772,23815,24957,407,119.89,NA,NA,NA,NA
207,033590038038,"Stade, Hansestadt",NA,21682,48633,23862,24771,442,110.07,NA,NA,NA,NA
208,053340016016,"Herzogenrath, Stadt",NA,52134,48574,23832,24742,1455,33.38,NA,NA,NA,NA
209,073130000000,"Landau in der Pfalz, Stadt",NA,76829,48209,23254,24955,581,82.94,NA,NA,NA,NA
210,053820012012,"Bornheim, Stadt",NA,53332,48203,23644,24559,583,82.69,NA,NA,NA,NA
211,053820020020,"Hennef (Sieg), Stadt",NA,53773,48188,23591,24597,455,105.89,NA,NA,NA,NA
212,073110000000,"Frankenthal (Pfalz), Stadt",NA,67227,48140,23910,24230,1097,43.88,NA,NA,NA,NA
213,057540028028,"Rheda-Wiedenbrück, Stadt",NA,33378,48030,24059,23971,554,86.72,NA,NA,NA,NA
214,055580016016,"Dülmen, Stadt",NA,48249,47989,23583,24406,260,184.83,NA,NA,NA,NA
215,082155003009,"Bruchsal, Stadt",NA,76646,47784,24163,23621,514,93.04,NA,NA,NA,NA
216,059740040040,"Soest, Stadt",NA,59494,47776,23569,24207,557,85.81,NA,NA,NA,NA
217,083355005075,"Singen (Hohentwiel), Stadt",NA,78224,47621,23413,24208,771,61.77,NA,NA,NA,NA
218,031530017017,"Goslar, Stadt",NA,38640,47419,23061,24358,289,163.88,NA,NA,NA,NA
219,100430114114,"Neunkirchen, Kreisstadt",NA,66538,47344,23332,24012,629,75.26,NA,NA,NA,NA
220,091740115115,"Dachau, GKSt",NA,85221,47138,23239,23899,1348,34.96,NA,NA,NA,NA
221,081190020020,"Fellbach, Stadt",NA,70734,47120,23164,23956,1700,27.71,NA,NA,NA,NA
222,084175001079,"Albstadt, Stadt",NA,72458,46950,23226,23724,349,134.4,NA,NA,NA,NA
223,094640000000,Hof,NA,95015,46778,23093,23685,806,58.02,NA,NA,NA,NA
224,064340008008,"Oberursel (Taunus), Stadt",NA,61440,46736,22613,24123,1031,45.34,NA,NA,NA,NA
225,034590024024,"Melle, Stadt",NA,49324,46436,23045,23391,183,253.95,NA,NA,NA,NA
226,160670029029,"Gotha, Stadt",NA,99867,46400,22770,23630,667,69.58,NA,NA,NA,NA
227,057580004004,"Bünde, Stadt",NA,32257,46365,22619,23746,782,59.3,NA,NA,NA,NA
228,081160077077,"Filderstadt, Stadt",NA,70794,46243,22962,23281,1200,38.55,NA,NA,NA,NA
229,097620000000,Kaufbeuren,NA,87600,46193,22810,23383,1154,40.02,NA,NA,NA,NA
230,082260096096,"Weinheim, Stadt",NA,69469,45852,22308,23544,789,58.11,NA,NA,NA,NA
231,059780028028,"Schwerte, Hansestadt an der Ruhr",NA,58239,45821,22467,23354,815,56.23,NA,NA,NA,NA
232,120630080080,"Falkensee, Stadt",NA,14612,45720,22396,23324,1055,43.34,NA,NA,NA,NA
233,084165003036,"Rottenburg am Neckar, Stadt",NA,72108,45677,22616,23061,321,142.27,NA,NA,NA,NA
234,053620012012,"Brühl, Stadt",NA,50321,45555,22130,23425,1261,36.12,NA,NA,NA,NA
235,053700004004,"Erkelenz, Stadt",NA,41812,45315,22167,23148,386,117.34,NA,NA,NA,NA
236,064380011011,"Rodgau, Stadt",NA,63110,45277,22282,22995,696,65.04,NA,NA,NA,NA
237,150910375375,"Wittenberg, Lutherstadt",NA,06886,45249,21935,23314,187,241.77,NA,NA,NA,NA
238,010560039039,"Pinneberg, Stadt",NA,25421,44865,22070,22795,2083,21.54,NA,NA,NA,NA
239,032410012012,"Neustadt am Rübenberge, Stadt",NA,31535,44668,22080,22588,124,358.96,NA,NA,NA,NA
240,120600020020,"Bernau bei Berlin, Stadt",NA,16321,44597,21558,23039,428,104.19,NA,NA,NA,NA
241,032410011011,"Lehrte, Stadt",NA,31275,44255,21975,22280,347,127.67,NA,NA,NA,NA
242,097640000000,Memmingen,NA,87700,44192,21839,22353,630,70.11,NA,NA,NA,NA
243,051580004004,"Erkrath, Fundort des Neanderthalers, Stadt",NA,40699,43706,21019,22687,1626,26.88,NA,NA,NA,NA
244,051580026026,"Monheim am Rhein, Stadt",NA,40789,43630,21106,22524,1893,23.05,NA,NA,NA,NA
245,081185002079,"Bietigheim-Bissingen, Stadt",NA,74321,43556,21452,22104,1392,31.29,NA,NA,NA,NA
246,100450114114,"Homburg, Kreisstadt",NA,66424,43382,21128,22254,525,82.61,NA,NA,NA,NA
247,130740087087,"Wismar, Hansestadt",NA,23952,43329,21045,22284,1038,41.73,NA,NA,NA,NA
248,051620016016,"Kaarst, Stadt",NA,41564,43295,20819,22476,1158,37.39,NA,NA,NA,NA
249,053700016016,"Heinsberg, Stadt",NA,52525,43163,21521,21642,468,92.21,NA,NA,NA,NA
250,055540012012,"Borken, Stadt",NA,46325,43035,21351,21684,281,153.24,NA,NA,NA,NA
251,031510009009,"Gifhorn, Stadt",NA,38518,42726,21009,21717,405,105.39,NA,NA,NA,NA
252,034520001001,"Aurich, Stadt",NA,26603,42612,21140,21472,216,197.29,NA,NA,NA,NA
253,081275009076,"Schwäbisch Hall, Stadt",NA,74523,42598,20884,21714,409,104.19,NA,NA,NA,NA
254,093610000000,Amberg,NA,92224,42553,20890,21663,849,50.14,NA,NA,NA,NA
255,053820060060,"Siegburg, Stadt",NA,53721,42445,20895,21550,1794,23.66,NA,NA,NA,NA
